Year,Article,c
2014,107,15
2014,108,2
2014,109,1
2014,111,1
2014,112a,19
2014,118,2
2014,12,2
2014,120,52
2014,120b,8
2014,120c,2
2014,121,18
2014,122,1
2014,123,1
2014,125,3
2014,126,1
2014,128,40
2014,129,1
2014,130,2
2014,132,1
2014,133,6
2014,134,36
2014,201,1
2014,21,1
2014,28,3
2014,500,2
2014,80,11
2014,81,5
2014,85,8
2014,86,17
2014,89,4
2014,90,9
2014,91,6
2014,92,21
2014,93,4
2014,95,2
2015,10,1
2015,107,101
2015,108,17
2015,109,4
2015,111,12
2015,112a,73
2015,117,3
2015,118,3
2015,119,1
2015,120,229
2015,120a,4
2015,120b,61
2015,120c,28
2015,121,89
2015,122,4
2015,123,5
2015,124,4
2015,125,24
2015,128,190
2015,129,3
2015,130,5
2015,131,1
2015,132,7
2015,133,14
2015,134,218
2015,78,3
2015,80,36
2015,81,39
2015,83,1
2015,85,27
2015,86,82
2015,89,5
2015,90,35
2015,91,21
2015,92,109
2015,93,41
2015,95,9
2015,99,1
2016,103,1
2016,107,99
2016,108,23
2016,109,1
2016,11,1
2016,111,6
2016,112,2
2016,112a,67
2016,115,1
2016,116,2
2016,117,2
2016,118,3
2016,119,1
2016,120,235
2016,120a,2
2016,120b,61
2016,120c,23
2016,121,78
2016,122,1
2016,123,3
2016,124,4
2016,125,17
2016,127,1
2016,128,179
2016,129,1
2016,130,9
2016,132,3
2016,133,14
2016,134,205
2016,16,1
2016,21,1
2016,78,2
2016,80,48
2016,81,43
2016,83,3
2016,85,31
2016,86,74
2016,87,3
2016,89,7
2016,90,39
2016,91,22
2016,92,88
2016,93,24
2016,95,6
2017,107,65
2017,108,9
2017,109,3
2017,111,9
2017,112,1
2017,112a,58
2017,118,2
2017,119,4
2017,12,1
2017,120,178
2017,120a,2
2017,120b,80
2017,120c,20
2017,121,60
2017,122,1
2017,123,3
2017,123a,1
2017,124,1
2017,125,11
2017,128,178
2017,129,1
2017,130,6
2017,132,3
2017,133,10
2017,134,200
2017,16,4
2017,80,49
2017,81,22
2017,85,39
2017,86,64
2017,87,1
2017,89,10
2017,90,38
2017,91,16
2017,92,93
2017,93,25
2017,95,9
2017,99,1
